-999 -999 -999    13.11300 -999.00000   14.59619 -999.00000 -999.00000
-999 -999 -999    11.75400 -999.00000   14.15132 -999.00000 -999.00000
-999 -999 -999     9.39600 -999.00000   13.62251 -999.00000 -999.00000
-999 -999 -999    11.25400 -999.00000   13.20035 -999.00000 -999.00000
-999 -999 -999    11.55000 -999.00000   12.94944 -999.00000 -999.00000
-999 -999 -999    10.35800 -999.00000   12.70166 -999.00000 -999.00000
-999 -999 -999    12.65400 -999.00000   12.53337 -999.00000 -999.00000
-999 -999 -999    12.85400 -999.00000   12.47342 -999.00000 -999.00000
-999 -999 -999    14.80000 -999.00000   12.49547 -999.00000 -999.00000
-999 -999 -999    15.13300 -999.00000   12.59541 -999.00000 -999.00000
-999 -999 -999    15.47900 -999.00000   12.71013 -999.00000 -999.00000
-999 -999 -999    11.97100 -999.00000   12.68604 -999.00000 -999.00000
-999 -999 -999    11.07700 -999.00000   12.49897 -999.00000 -999.00000
-999 -999 -999    14.92100 -999.00000   12.44282 -999.00000 -999.00000
-999 -999 -999    18.85400 -999.00000   12.67615 -999.00000 -999.00000
-999 -999 -999    16.61700 -999.00000   12.95994 -999.00000 -999.00000
-999 -999 -999    14.02500 -999.00000   13.01930 -999.00000 -999.00000
-999 -999 -999    15.97100 -999.00000   13.04528 -999.00000 -999.00000
-999 -999 -999    19.26100 -999.00000   13.29495 -999.00000 -999.00000
-999 -999 -999    14.65800 -999.00000   13.45392 -999.00000 -999.00000
-999 -999 -999    15.57900 -999.00000   13.42419 -999.00000 -999.00000
-999 -999 -999    16.10400 -999.00000   13.46130 -999.00000 -999.00000
-999 -999 -999    18.39200 -999.00000   13.62763 -999.00000 -999.00000
-999 -999 -999    17.55400 -999.00000   13.84442 -999.00000 -999.00000
-999 -999 -999    16.53300 -999.00000   13.93531 -999.00000 -999.00000
-999 -999 -999    16.61300 -999.00000   13.96038 -999.00000 -999.00000
-999 -999 -999    15.31700 -999.00000   13.90987 -999.00000 -999.00000
-999 -999 -999    11.99200 -999.00000   13.62546 -999.00000 -999.00000
